start_frequency,end_frequency,label
5648.5,5663.5,"NM WSMR"
5659.5,5670.5, "unknown"
5695.5,5704.5, "unknown"
5742.5,5757.5, "uknown"
5765,5769,"Wireless Phone"
5796,5804, "unknown"
6108.1,6138.1,"Microwave Link"
6137.75,6167.75,"Microwave Link"
6182,6212,"Microwave Link"
6360.14,6390.14,"Microwave Link"
6389.79,6419.79,"Microwave Link"
6772,6778,"Microwave Link"
7250,7850,"Mil Sat"
6020,6055,"Unknown"
6110,6120,"Unknown"
6121,6240,"Unknown"
6270,6305,"Unknown"
6360,6420,"Unknown"
5770,5880,"Unknown"
